Polygenic Score (PGS) ID,Stage of PGS Development,Number of Individuals,Number of Cases,Number of Controls,Percent of Participants Who are Male,Sample Age,Broad Ancestry Category,"Ancestry (e.g. French, Chinese)",Country of Recruitment,Additional Ancestry Description,Phenotype Definitions and Methods,Followup Time,GWAS Catalog Study ID (GCST...),Source PubMed ID (PMID),Source DOI,Cohort(s),Additional Sample/Cohort Information
PGS000795,Source of Variant Associations (GWAS),3629.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST002944,26034056,,CMHS|GERA|ProHealth|RPGEH,
PGS000795,Source of Variant Associations (GWAS),37272.0,,,,,European,,U.S.,,,,GCST002944,26034056,,CMHS|GERA|ProHealth|RPGEH,
PGS000795,Source of Variant Associations (GWAS),2950.0,,,,,European,,U.K.,,,,GCST002421,24753544,,ProtecT,
PGS000795,Source of Variant Associations (GWAS),5051.0,,,,,European,,U.S.,,,,GCST002413,24740154,,Illumina_iControlDB|dbGAP,
PGS000795,Source of Variant Associations (GWAS),123671.0,,,,,European,,,,,,GCST003587,27197191,,GAME-ON|GECCO,
PGS000795,Source of Variant Associations (GWAS),1135.0,495.0,640.0,100.0,,East Asian,Han Chinese,China,,The cases were hospital based with pathological diagnosis of primary prostate cancer.,,,26881390,,CHIPGECS,
PGS000795,Source of Variant Associations (GWAS),545.0,,,,,Not reported,,,,,,GCST001338,22130093,,,
PGS000796,Source of Variant Associations (GWAS),1638.0,,,,,European,,U.S.,,,,GCST002023,23666239,,FCCC|NCI|UPENN,
PGS000796,Source of Variant Associations (GWAS),1196.0,,,,,European,,U.S.,,,,GCST000416,19483682,,FCCC|PennCATH|UPENN,
PGS000796,Source of Variant Associations (GWAS),5932.0,,,,,European,,U.K.,,,,GCST003246,26503584,,B58C|UKBS|UKTCC,
PGS000796,Source of Variant Associations (GWAS),24573.0,,,,,European,,U.K.,,,,GCST004635,28604728,,UKTCC|UKGPCS|SEARCH|BCAC|B58C|UKBS,
PGS000796,Source of Variant Associations (GWAS),5932.0,,,,,European,,U.K.,,,,GCST002022,23666240,,UKTCC|B58C|UKBS,
PGS000796,Source of Variant Associations (GWAS),17528.0,,,,,European,,"U.S., Denmark, Norway, Sweden, U.K.",,,,GCST004713,28604732,,NCI|Penn|Sweden,
PGS000797,Source of Variant Associations (GWAS),1187.0,,,,,European,,Italy,,,,GCST002102,23894154,,,
PGS000797,Source of Variant Associations (GWAS),290551.0,,,,,European,,"U.S., Netherlands, Iceland, Spain",,,,GCST004144,28195142,,ICR|deCODE|RUNMC|NBS|ODZH,
PGS000798,Source of Variant Associations (GWAS),547261.0,,,,,Not reported,,U.K.,,,,GCST005195,29212778,,UKB|CARDIoGRAMplusC4D,
PGS000799,Source of Variant Associations (GWAS),8204.0,,,,,"African unspecified, African American or Afro-Caribbean",,U.S.,,,,GCST005212,29273806,,AAGC|CAPPS|SAGE.AST|SLSJ|FHS|NFBC|EPIC|FINRISK|Health2000|HBCS|YFS|ARIC|CARDIA|JHS|MESA|CHS|deCODE|COPSAC|DNBC|Generation_R|LISAplus|GINI|MAAS|RAINE|B58C|CAG|CSGA|SARP|CHS_b|GRAAD|SAPPHIRE|EGEA|ALSPAC|ECRHS|BAMSE|GAS|KSMU|MRCA-UKC|MAGICS|G.MAS|PIAMA|SAPALDIA|TOMSK|UFA|SEVERE|NTR|RS|DAG,"Additional cases and controls were obtained from the Japanese Childhood Onset Asthma in Adult Asthma research (JCOAAD), Japan Pediatric Asthma Consortium (JPAC), Busselton (childhood-onset asthma), Busselton (adult-onset asthma) AGRICULTURAL, WOOD, BAKERY and ISOCYANATE cohorts."
PGS000799,Source of Variant Associations (GWAS),127669.0,,,,,European,,"U.S., Canada, Australia, Austria, France, Germany, Netherlands, Switzerland, Russian Federation, Denmark, Finland, Iceland, Sweden, U.K.",,,,GCST005212,29273806,,AAGC|CAPPS|SAGE.AST|SLSJ|FHS|NFBC|EPIC|FINRISK|Health2000|HBCS|YFS|ARIC|CARDIA|JHS|MESA|CHS|deCODE|COPSAC|DNBC|Generation_R|LISAplus|GINI|MAAS|RAINE|B58C|CAG|CSGA|SARP|CHS_b|GRAAD|SAPPHIRE|EGEA|ALSPAC|ECRHS|BAMSE|GAS|KSMU|MRCA-UKC|MAGICS|G.MAS|PIAMA|SAPALDIA|TOMSK|UFA|SEVERE|NTR|RS|DAG,"Additional cases and controls were obtained from the Japanese Childhood Onset Asthma in Adult Asthma research (JCOAAD), Japan Pediatric Asthma Consortium (JPAC), Busselton (childhood-onset asthma), Busselton (adult-onset asthma) AGRICULTURAL, WOOD, BAKERY and ISOCYANATE cohorts."
PGS000799,Source of Variant Associations (GWAS),5215.0,,,,,East Asian,,Japan,,,,GCST005212,29273806,,AAGC|CAPPS|SAGE.AST|SLSJ|FHS|NFBC|EPIC|FINRISK|Health2000|HBCS|YFS|ARIC|CARDIA|JHS|MESA|CHS|deCODE|COPSAC|DNBC|Generation_R|LISAplus|GINI|MAAS|RAINE|B58C|CAG|CSGA|SARP|CHS_b|GRAAD|SAPPHIRE|EGEA|ALSPAC|ECRHS|BAMSE|GAS|KSMU|MRCA-UKC|MAGICS|G.MAS|PIAMA|SAPALDIA|TOMSK|UFA|SEVERE|NTR|RS|DAG,"Additional cases and controls were obtained from the Japanese Childhood Onset Asthma in Adult Asthma research (JCOAAD), Japan Pediatric Asthma Consortium (JPAC), Busselton (childhood-onset asthma), Busselton (adult-onset asthma) AGRICULTURAL, WOOD, BAKERY and ISOCYANATE cohorts."
PGS000799,Source of Variant Associations (GWAS),1398.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST005212,29273806,,AAGC|CAPPS|SAGE.AST|SLSJ|FHS|NFBC|EPIC|FINRISK|Health2000|HBCS|YFS|ARIC|CARDIA|JHS|MESA|CHS|deCODE|COPSAC|DNBC|Generation_R|LISAplus|GINI|MAAS|RAINE|B58C|CAG|CSGA|SARP|CHS_b|GRAAD|SAPPHIRE|EGEA|ALSPAC|ECRHS|BAMSE|GAS|KSMU|MRCA-UKC|MAGICS|G.MAS|PIAMA|SAPALDIA|TOMSK|UFA|SEVERE|NTR|RS|DAG,"Additional cases and controls were obtained from the Japanese Childhood Onset Asthma in Adult Asthma research (JCOAAD), Japan Pediatric Asthma Consortium (JPAC), Busselton (childhood-onset asthma), Busselton (adult-onset asthma) AGRICULTURAL, WOOD, BAKERY and ISOCYANATE cohorts."
PGS000799,Source of Variant Associations (GWAS),20762.0,,,,,European,,"Canada, U.S., Australia, Austria, France, Germany, Netherlands, Switzerland, Russian Federation, Denmark, Sweden, U.K.",,,,GCST005213,29273806,,CAPPS|SAGE|SLSJ|MESA|COPSAC|DNBC|Generation_R|LISAplus|GINI|MAAS|RAINE|CHS_b|EGEA|ALSPAC|ECRHS|BAMSE|GAS|KSMU|MRCA-UKC|MAGICS|G.MAS|PIAMA|SAPALDIA|TOMSK|UFA,"Additional cases and controls were obtained from the Japanese Childhood Onset Asthma in Adult Asthma research (JCOAAD), Japan Pediatric Asthma Consortium (JPAC) and Busselton (childhood-onset asthma) cohorts."
PGS000799,Source of Variant Associations (GWAS),5215.0,,,,,East Asian,,Japan,,,,GCST005213,29273806,,CAPPS|SAGE|SLSJ|MESA|COPSAC|DNBC|Generation_R|LISAplus|GINI|MAAS|RAINE|CHS_b|EGEA|ALSPAC|ECRHS|BAMSE|GAS|KSMU|MRCA-UKC|MAGICS|G.MAS|PIAMA|SAPALDIA|TOMSK|UFA,"Additional cases and controls were obtained from the Japanese Childhood Onset Asthma in Adult Asthma research (JCOAAD), Japan Pediatric Asthma Consortium (JPAC) and Busselton (childhood-onset asthma) cohorts."
PGS000799,Source of Variant Associations (GWAS),1398.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST005213,29273806,,CAPPS|SAGE|SLSJ|MESA|COPSAC|DNBC|Generation_R|LISAplus|GINI|MAAS|RAINE|CHS_b|EGEA|ALSPAC|ECRHS|BAMSE|GAS|KSMU|MRCA-UKC|MAGICS|G.MAS|PIAMA|SAPALDIA|TOMSK|UFA,"Additional cases and controls were obtained from the Japanese Childhood Onset Asthma in Adult Asthma research (JCOAAD), Japan Pediatric Asthma Consortium (JPAC) and Busselton (childhood-onset asthma) cohorts."
PGS000800,Source of Variant Associations (GWAS),360838.0,,,,,European,,"U.S., Australia, Germany, Netherlands, Norway, Sweden, U.K.",,,,GCST005038,29083406,,UKB|23andMe|GERA|NTR|LifeLines|STR|ALSPAC|AAGC|GENUFAD|SALTY|CATSS|TwinGene,Additional cases and controls were obtained from the GENEVA study.
PGS000801,Source of Variant Associations (GWAS),3831.0,,,,,European,,U.K.,,,,GCST000270,19011631,,COGS|CoRGI,
PGS000801,Source of Variant Associations (GWAS),1849.0,,,,,European,,U.K.,,,,GCST000169,18372905,,CoRGI,
PGS000801,Source of Variant Associations (GWAS),17780.0,,,,,European,,U.K.,,,,GCST001544,22634755,,CoRGI|NSCCG|COGS|SOCCS|VICTOR,
PGS000801,Source of Variant Associations (GWAS),1890.0,,,,,European,,U.K.,,,,GCST000053,17618284,,CoRGI,
PGS000801,Source of Variant Associations (GWAS),17556.0,,,,,European,,"U.S., Australia, Canada, U.K.",,,,GCST002919,25990418,,BBJ,
PGS000801,Source of Variant Associations (GWAS),7962.0,,,,,European,,"Finland, U.K.",,,,GCST000843,20972440,,VICTOR|B58C|NSCCG|COGS|SOCCS|CoRGI|COIN|COIN-B|UKBS|SEARCH|FCCPS,
PGS000801,Source of Variant Associations (GWAS),30420.0,,,,,European,,"Finland, U.K.",,,,GCST000843,20972440,,VICTOR|B58C|NSCCG|COGS|SOCCS|CoRGI|COIN|COIN-B|UKBS|SEARCH|FCCPS,
PGS000801,Source of Variant Associations (GWAS),21096.0,,,,,East Asian,,"Republic of Korea, China, Japan",,,,GCST003799,26965516,,Guangzhou|KCPS|BBJ|Shanghai,
PGS000801,Source of Variant Associations (GWAS),37955.0,,,,,European,,"U.S., Israel, Australia, Canada, Germany, France",,,,GCST003017,26151821,,CCFR|CCFR-II|MECC|KCCS|ACS|NFCCR|ASTERISK|Hawaiian_Colo2&3|DALS|HPFS|MEC|NHS|NHS_Ad|OFCCR|PHS|PMH|PLCO|VITAL|WHI|DACHS,Possible sample overlap between this dataset and the dataset used to evaluate the score.
PGS000801,Source of Variant Associations (GWAS),6424.0,,,,,East Asian,,"U.S., Japan",,,,GCST002561,25105248,,MEC|CCFR|Hawaiian_Colo2&3|FCCS|NCCS|JPHC|UNCCanCORS|UNC-Rectal|MDACCS|PLCO|SCCS,
PGS000801,Source of Variant Associations (GWAS),6596.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST002561,25105248,,MEC|CCFR|Hawaiian_Colo2&3|FCCS|NCCS|JPHC|UNCCanCORS|UNC-Rectal|MDACCS|PLCO|SCCS,
PGS000801,Source of Variant Associations (GWAS),8270.0,,,,,East Asian,,"Republic of Korea, China, Japan",,,,GCST002454,24836286,,Guangzhou|Aichi_Con|KCPS|Shanghai,
PGS000801,Source of Variant Associations (GWAS),27809.0,,,,,European,,"U.S., Australia, Canada, Germany, France",,,,GCST001787,23266556,,ASTERISK|Hawaiian_Colo2&3|CCFR|DALS|HPFS|MEC|NHS|OFCCR|PHS|PMH|PLCO|VITAL|WHI|NHS_Ad|Guangzhou|Aichi_Con|KCPS|TCPS|Shanghai|DACHS,Possible sample overlap between this dataset and the dataset used to evaluate the score.
PGS000801,Source of Variant Associations (GWAS),7847.0,,,,,East Asian,,"Republic of Korea, China, Japan",,,,GCST001792,23263487,,Guangzhou|Aichi_Con|KCPS|Shanghai,
PGS000801,Source of Variant Associations (GWAS),21475.0,10385.0,11090.0,,,European,,"UK, USA, Canada, Australia",,Cases were individuals with colorectal cancer/neoplasia.,,,21655089,,CoRGI|COGS|VICTOR|QUASAR2|B58C|CCFR|BTNS|GIMS|NSCCG|SOCCS,
PGS000801,Source of Variant Associations (GWAS),1983.0,,,,,European,U.K.,U.K.,,,,GCST000168,18372901,,,Cases and controls obtained from a prospective population-based study in Scotland.
PGS000802,Source of Variant Associations (GWAS),17780.0,,,,,European,,U.K.,,,,GCST001544,22634755,,CoRGI|NSCCG|COGS|SOCCS|VICTOR,
PGS000802,Source of Variant Associations (GWAS),27809.0,,,,,European,,"U.S., Australia, Canada, Germany, France",,,,GCST001787,23266556,,,
PGS000802,Source of Variant Associations (GWAS),1890.0,,,,,European,,U.K.,,,,GCST000113,17934461,,CoRGI,
PGS000802,Source of Variant Associations (GWAS),21096.0,,,,,East Asian,,"Republic of Korea, China, Japan",,,,GCST003799,26965516,,Guangzhou|KCPS|BBJ|Shanghai,
PGS000802,Source of Variant Associations (GWAS),8270.0,,,,,East Asian,,"Republic of Korea, China, Japan",,,,GCST002454,24836286,,Guangzhou|Aichi_Con|KCPS|Shanghai,
PGS000802,Source of Variant Associations (GWAS),7847.0,,,,,East Asian,,"Republic of Korea, China, Japan",,,,GCST001792,23263487,,Guangzhou|Aichi_Con|KCPS|Shanghai,
PGS000802,Source of Variant Associations (GWAS),6322.0,,,,,European,,"U.S., Australia, Canada",,,,GCST001161,21761138,,CCFR|WHI|PLCO|DALS,
PGS000802,Source of Variant Associations (GWAS),17274.0,8021.0,9253.0,,,European,,"UK, Finland, Spain",,,,,21655089,,CoRGI|NSCCG|VICTOR|QUASAR2|FCCPS|SEARCH|B58C|EPICOLON,
PGS000802,Source of Variant Associations (GWAS),3481.0,,,,,East Asian,,Japan,,,,GCST000948,21242260,,BBJ|O-MRC,
PGS000802,Score Development/Training,5606.0,2557.0,3049.0,54.07,,East Asian,Han-Chinese,China,,"Exclusion criteria for healthy controls included subjects with polyposis, adenomas, and diseases related to or causing a predisposition for cancer. Cases included subjects with colorectal cancer, confirmed by endoscopic and histological examinations.",,,,,,Subjects obtained from Sun Yat-Sen University Cancer Center (SYSUCC)
PGS000803,Source of Variant Associations (GWAS),14267.0,,,,,European,,"U.S., Italy, Netherlands, Turkey, Spain",,,,GCST003155,26502338,,,
PGS000804,Source of Variant Associations (GWAS),1114458.0,,,,,European,,U.S.,,,,GCST010557,32541925,,MVP|PMB|MedSTAR|PennCATH|MDC|deCODE|DGDG|DGI|EGCUT|FHS|FUSION|GCKD|GENOA|GERA|GoDARTS|GOMAP|HPFS|InterAct|KORA|MESA|METSIM|MGI|NHS|Nugene|PIVUS|PROSPER|RS|UKB|ULSAM|UPCH|WTCCC|BBJ,
PGS000804,Source of Variant Associations (GWAS),56092.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST010557,32541925,,MVP|PMB|MedSTAR|PennCATH|MDC|deCODE|DGDG|DGI|EGCUT|FHS|FUSION|GCKD|GENOA|GERA|GoDARTS|GOMAP|HPFS|InterAct|KORA|MESA|METSIM|MGI|NHS|Nugene|PIVUS|PROSPER|RS|UKB|ULSAM|UPCH|WTCCC|BBJ,
PGS000804,Source of Variant Associations (GWAS),20445.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST010557,32541925,,MVP|PMB|MedSTAR|PennCATH|MDC|deCODE|DGDG|DGI|EGCUT|FHS|FUSION|GCKD|GENOA|GERA|GoDARTS|GOMAP|HPFS|InterAct|KORA|MESA|METSIM|MGI|NHS|Nugene|PIVUS|PROSPER|RS|UKB|ULSAM|UPCH|WTCCC|BBJ,
PGS000804,Source of Variant Associations (GWAS),216287.0,,,,,"East Asian, South Asian",,U.S.,,,,GCST010557,32541925,,MVP|PMB|MedSTAR|PennCATH|MDC|deCODE|DGDG|DGI|EGCUT|FHS|FUSION|GCKD|GENOA|GERA|GoDARTS|GOMAP|HPFS|InterAct|KORA|MESA|METSIM|MGI|NHS|Nugene|PIVUS|PROSPER|RS|UKB|ULSAM|UPCH|WTCCC|BBJ,
PGS000804,Source of Variant Associations (GWAS),56092.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST010556,32541925,,MVP|PMB,
PGS000804,Source of Variant Associations (GWAS),1114458.0,,,,,European,,,,,,GCST010555,32541925,,MVP|PMB|MedSTAR|PennCATH|MDC|deCODE|DGDG|DGI|EGCUT|FHS|FUSION|GCKD|GENOA|GERA|GoDARTS|GOMAP|HPFS|InterAct|KORA|MESA|METSIM|MGI|NHS|Nugene|PIVUS|PROSPER|RS|UKB|ULSAM|UPCH|WTCCC|BioMe,
PGS000804,Source of Variant Associations (GWAS),20445.0,,,,,Hispanic or Latin American,,,,,,GCST010554,32541925,,MVP,
PGS000804,Source of Variant Associations (GWAS),216287.0,,,,,"East Asian, South Asian",,,,,,GCST010553,32541925,,BBJ|MVP|PGR,
PGS000805,Source of Variant Associations (GWAS),1114458.0,,,,,European,,,,,,GCST010555,32541925,,MVP|PMB|MedSTAR|PennCATH|MDC|deCODE|DGDG|DGI|EGCUT|FHS|FUSION|GCKD|GENOA|GERA|GoDARTS|GOMAP|HPFS|InterAct|KORA|MESA|METSIM|MGI|NHS|Nugene|PIVUS|PROSPER|RS|UKB|ULSAM|UPCH|WTCCC|BioMe,
PGS000806,Source of Variant Associations (GWAS),56092.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST010556,32541925,,MVP|PMB,
PGS000807,Source of Variant Associations (GWAS),216287.0,,,,,"East Asian, South Asian",,,,,,GCST010553,32541925,,BBJ|MVP|PGR,
PGS000808,Source of Variant Associations (GWAS),20445.0,,,,,Hispanic or Latin American,,,,,,GCST010554,32541925,,MVP,
PGS000809,Source of Variant Associations (GWAS),26621.0,,,,,European,,"Finland, Sweden, U.S., Poland, Australia, Italy, Belgium, Germany, U.K., Switzerland, Spain, Austria, New Zealand, France, Norway, Denmark",,,,GCST001198,21833088,,WTCCC|IMSGC|NBBS|B58C|CAHRES|CHOP|EGEA|GAS|GENMETS|POPGEN|HYPERGENES|MG_GWAS|PROCARDIS|KORA,
PGS000809,Source of Variant Associations (GWAS),240.0,,,,,European,,,,,,GCST000263,18997785,,,Cases from the Genetic Research in Isolated Populations (GRIP) program
PGS000809,Source of Variant Associations (GWAS),17698.0,,,,,European,,"U.S., Australia, Netherlands, U.K., Switzerland, New Zealand",,,,GCST001341,22190364,,IMSGC_UK|IMSGC_US|Gene_MSA_US|Gene_MSA_NL|Gene_MSA_CH|ANZgene|BWH|BayerScheringPharma,
PGS000809,Source of Variant Associations (GWAS),9844.0,,,,,European,,"U.S., Netherlands, U.K., Switzerland",,,,GCST000424,19525953,,IMSGC_UK|IMSGC_US|BWH|Gene_MSA_CH|Gene_MSA_NL|Gene_MSA_US,
PGS000809,Source of Variant Associations (GWAS),1754.0,,,,,European,Italy,Italy,,,,GCST000680,20453840,,,
PGS000809,Source of Variant Associations (GWAS),6685.0,,,,,European,,"U.S., Netherlands, U.K., Switzerland, Spain",,,,GCST001505,22570697,,IMSGC_UK|IMSGC_US|Gene_MSA_US|Gene_MSA_CH|Gene_MSA_NL|WTCCC,Additional cases and controls from the Macarena Spanish GWAS
PGS000809,Source of Variant Associations (GWAS),1470.0,,,,,European,,"U.S., U.K.",,,,GCST001096,21654844,,IMSGC_UK|IMSGC_US|BWH,
PGS000809,Source of Variant Associations (GWAS),5031.0,,,,,European,,"U.S., Australia, U.K., New Zealand",,,,GCST000425,19525955,,Illumina_iControlDB|B58C,Cases were obtained from Australia and New zealand
PGS000809,Source of Variant Associations (GWAS),5224.0,,,,,European,,"U.S., U.K.",,,,GCST000062,17660530,,BWH,Cases were obtained from the UK and USA
PGS000809,Source of Variant Associations (GWAS),1415.0,,,,,European,,,,,,GCST000716,20598377,,,
PGS000810,Source of Variant Associations (GWAS),360838.0,,,,,European,,"U.S., Australia, Germany, Netherlands, Norway, Sweden, U.K.",,,,GCST005038,29083406,,UKB|23andMe|GERA|NTR|LifeLines|STR|ALSPAC|AAGC|GENUFAD|SALTY|CATSS|TwinGene,Additional cases and controls were obtained from the GENEVA study.
PGS000811,Source of Variant Associations (GWAS),95157.0,36675.0,58482.0,41.01,,European,,"Spain, NR",,"Cases were individuals with Alzheimer's disease. For the GR@ACE study  AD diagnosis was established by a multidisciplinary working group, including neurologists, neuropsychologists and social workers, according to the DSM-IV criteria for dementia and the National Institute on Aging and Alzheimer’s Association’s (NIA– AA) 2011 guidelines for diagnosing AD. In the present study we considered as AD cases any individuals with dementia diagnosed with probable or possible AD at any point in their clinical course",,,,10.1101/19012021,ADGC|CHARGE|EADI|GERAD|PERADES,IGAP consortium in addition to GR@ACE study. Dataset used to obtain variants.
PGS000811,Source of Variant Associations (GWAS),548955.0,42034.0,506921.0,47.41,,European,,UK,,"Cases are self reported maternal or paternal dementia. Of the 314278 individuals that were questioned, 27696 cases of maternal dementia was reported and this was compared to 260980 controls. 14338 paternal cases of dementia were reported compared to 245941 controls",,,,10.1101/19012021,UKB,"Sample size = 314,278. Summary statistics were obtained via a meta-analysis of a paternal history of Alzhimer's disease GWAS and a maternal history of Alzheimer's disease GWAS."
PGS000812,Source of Variant Associations (GWAS),63926.0,,,,,European,,"U.S., Canada, France, Germany, Netherlands, Iceland, U.K., Greece",,,,GCST007511,30820047,,ADGC|CHARGE|EADI|GERAD|PERADES,IGAP consortium. Dataset used to weight scores
PGS000813,Source of Variant Associations (GWAS),36077.0,,,,,European,,"U.S., Israel, Australia, Germany, U.K., France",,,,GCST003061,26237428,,GenoMEL|MDACCS|AMFS|Q-MEGA|LMC|SEARCH|MELARISK|WAMHS|Essen-Heidelberg|Harvard,Finemapping on a subset of this dataset (12419 cases and 14242 controls) identified variants for the polygenic score.
PGS000814,Source of Variant Associations (GWAS),95454.0,,,,,European,,"Finland, Sweden, U.S., Australia, Iceland, Italy, Netherlands, Germany, U.K., Croatia, Switzerland, Austria, France, Denmark",,,,GCST000759,20686565,,AGES|ARIC|GenomEUtwin|BLSA|B58C|CHS|CoLaus|KORA|EPIC-Norfolk|Fenland|InCHIANTI|LOLIPOP|FINRISK|NFBC|RS|SUVIMAX|BRIGHT|DGI|FHS|FUSION|GENMETS|MedSTAR|PennCATH,
PGS000815,Source of Variant Associations (GWAS),437438.0,,,,,European,,U.K.,,,,GCST90013406,33972514,,UKB,
PGS000815,Score Development/Training,753010.0,,,,,European,,"UK, Netherlands, USA",,,,,,,UKB|MVP|LifeLines|RS,Meta-analysis of discovery and replication GWAS used to determine weights for SNPs within the GRS.
PGS000816,Source of Variant Associations (GWAS),437267.0,,,,,European,,U.K.,,,,GCST90013405,33972514,,UKB,
PGS000816,Score Development/Training,753010.0,,,,,European,,"UK, Netherlands, USA",,,,,,,UKB|MVP|LifeLines|RS,Meta-analysis of discovery and replication GWAS used to determine weights for SNPs within the GRS.
PGS000817,Source of Variant Associations (GWAS),437194.0,,,,,European,,U.K.,,,,GCST90013407,33972514,,UKB,
PGS000817,Score Development/Training,753010.0,,,,,European,,"UK, Netherlands, USA",,,,,,,UKB|MVP|LifeLines|RS,Meta-analysis of discovery and replication GWAS used to determine weights for SNPs within the GRS.
PGS000818,Source of Variant Associations (GWAS),547261.0,,,,,Not reported,,U.K.,,,,GCST005195,29212778,,UKB|CARDIoGRAMplusC4D,
PGS000818,Source of Variant Associations (GWAS),194427.0,63746.0,130681.0,,,"European, South Asian",,"USA, Netherlands, Germany, France, UK, Finland, Estonia, Lebanon, Sweden, Norway, Denmark, Italy, Canada, Pakistan, Greece, NR","European, South Asian",,,,23202125,,CARDIoGRAMplusC4D|ADVANCE|AMC-PAS|Angio-Lueb|CARDIOGENICS|DILGOM|Duke|EGCUT|EPIC|FGENTCARD|FRISCII|GLACIER|GoDARTS|HPS|ITH|LOLIPOP|LURIC|METSIM|MORGAM|OHGS|PIVUS|PMB|POPGEN|PROCARDIS|PROMIS|SCARFSHEEP|STR|THISEAS|ULSAM|WTCCC|deCODE|GerMIFS|MedSTAR|MIGen|PennCATH|KORA,
PGS000818,Source of Variant Associations (GWAS),30434.0,14267.0,16167.0,,,European,,"UK, Germany, Netherlands, Sweden, Norway, France, Spain, Greece, Italy, Denmark, NR",,,,,28530674,,CARDIoGRAMplusC4D|EPIC|CCHS|CIHDS|CGPS,
PGS000818,Source of Variant Associations (GWAS),250736.0,,,,,Not reported,,U.K.,,,,GCST005196,29212778,,CARDIoGRAMplusC4D,
PGS000819,Source of Variant Associations (GWAS),17567.0,866.0,16701.0,62.21,"{'estimate_type': 'mean', 'estimate': 60.0, 'unit': 'years'}",European,British,UK,,"All individuals had type 2 diabetes (T2D). Cases were individuals with diabetic retinopathy (DR). T2D and DR status were obtained using a combination of diagnosis codes. Participants were positive for T2D if they 1) had an ICD-10 from E11.0-E11.9, 2) were diagnosed with T2D by a physician, or 3) self-reported T2D. DR cases were identified by an ICD-10 code of E11.3 or self report of DR.",,,33704450,,UKB,
PGS000820,Source of Variant Associations (GWAS),459318.0,22500.0,436818.0,,,European,,,,,,,29892013,,UKB,
PGS000821,Source of Variant Associations (GWAS),305582.0,,,,,European,,U.K.,,,,GCST007932,31015401,,UKB,
PGS000822,Source of Variant Associations (GWAS),547361.0,,,,,European,,,,,,GCST008790,31511532,,AA-DHS|ADVANCE|AGES|AMISH|ARIC|CHRIS|CHS|deCODE|DIACORE|ESTHER|FHS|FINCAVAS|GCKD|Generation_R|JHS|LIFE-Adult|LIFE-Child|LifeLines|Living-Biobank|MESA|MICROS|MyCode|NEO|PIVUS|POPGEN|PREVEND|RS|SCES|SHIP|SIMES|SINDI|SKIPOGH|SORBS|SP2|UKB|ULSAM|BioVU|KORA,
PGS000822,Source of Variant Associations (GWAS),6795.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST008790,31511532,,AA-DHS|ADVANCE|AGES|AMISH|ARIC|CHRIS|CHS|deCODE|DIACORE|ESTHER|FHS|FINCAVAS|GCKD|Generation_R|JHS|LIFE-Adult|LIFE-Child|LifeLines|Living-Biobank|MESA|MICROS|MyCode|NEO|PIVUS|POPGEN|PREVEND|RS|SCES|SHIP|SIMES|SINDI|SKIPOGH|SORBS|SP2|UKB|ULSAM|BioVU|KORA,
PGS000822,Source of Variant Associations (GWAS),6324.0,,,,,East Asian,,,,,,GCST008790,31511532,,AA-DHS|ADVANCE|AGES|AMISH|ARIC|CHRIS|CHS|deCODE|DIACORE|ESTHER|FHS|FINCAVAS|GCKD|Generation_R|JHS|LIFE-Adult|LIFE-Child|LifeLines|Living-Biobank|MESA|MICROS|MyCode|NEO|PIVUS|POPGEN|PREVEND|RS|SCES|SHIP|SIMES|SINDI|SKIPOGH|SORBS|SP2|UKB|ULSAM|BioVU|KORA,
PGS000822,Source of Variant Associations (GWAS),2335.0,,,,,South Asian,,,,,,GCST008790,31511532,,AA-DHS|ADVANCE|AGES|AMISH|ARIC|CHRIS|CHS|deCODE|DIACORE|ESTHER|FHS|FINCAVAS|GCKD|Generation_R|JHS|LIFE-Adult|LIFE-Child|LifeLines|Living-Biobank|MESA|MICROS|MyCode|NEO|PIVUS|POPGEN|PREVEND|RS|SCES|SHIP|SIMES|SINDI|SKIPOGH|SORBS|SP2|UKB|ULSAM|BioVU|KORA,
PGS000822,Source of Variant Associations (GWAS),1442.0,,,,,Hispanic or Latin American,,,,,,GCST008790,31511532,,AA-DHS|ADVANCE|AGES|AMISH|ARIC|CHRIS|CHS|deCODE|DIACORE|ESTHER|FHS|FINCAVAS|GCKD|Generation_R|JHS|LIFE-Adult|LIFE-Child|LifeLines|Living-Biobank|MESA|MICROS|MyCode|NEO|PIVUS|POPGEN|PREVEND|RS|SCES|SHIP|SIMES|SINDI|SKIPOGH|SORBS|SP2|UKB|ULSAM|BioVU|KORA,
PGS000823,Source of Variant Associations (GWAS),55134.0,,,,,European,,"U.S., Iceland, Netherlands, Greece, Canada, Germany, U.K., France",,,,GCST002245,24162737,,ACT|ADC|ADNI|AGES|CHS|EADI|FHS|GERAD|GSK|LOAD|MAYO|MIRAGE|OHSU|ROSMAP|RS|TGEN|UMVUMSS|UPITT|WASHU,
